"BehaviorSpace results (NetLogo 6.1.1)"
"ethnicity bias learning - bjps revisions - varying population sizes.nlogo"
"sensitivity_to_random_pairing_majority_minority"
"08/06/2022 14:22:06:914 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","25","0","9"
"[run number]","spatial?","random-pairing","mr_learning_strategy","conditional_strategies?","initial_proportion_ethnic_learning","plays_per_learn","mr_strategy","shift","[step]","success?","collapse?"
"206","false","0.2","0","false","0.5","1","0","0.01","502","true","false"
"209","false","0.2","0","false","0.5","1","0","0.01","209","true","false"
"204","false","0.2","0","false","0.5","1","0","0.01","908","true","false"
"207","false","0.2","0","false","0.5","1","0","0.01","509","true","false"
"208","false","0.2","0","false","0.5","1","0","0.01","429","true","false"
"212","false","0.2","0","false","0.5","1","0","0.01","88","false","true"
"213","false","0.2","0","false","0.5","1","0","0.01","331","true","false"
"210","false","0.2","0","false","0.5","1","0","0.01","525","true","false"
"211","false","0.2","0","false","0.5","1","0","0.01","503","true","false"
"214","false","0.2","0","false","0.5","1","0","0.01","272","true","false"
"215","false","0.2","0","false","0.5","1","0","0.01","392","true","false"
"217","false","0.2","0","false","0.5","1","0","0.01","317","true","false"
"216","false","0.2","0","false","0.5","1","0","0.01","595","true","false"
"220","false","0.2","0","false","0.5","1","0","0.01","341","true","false"
"218","false","0.2","0","false","0.5","1","0","0.01","438","true","false"
"219","false","0.2","0","false","0.5","1","0","0.01","463","true","false"
"222","false","0.2","0","false","0.5","1","0","0.01","377","true","false"
"221","false","0.2","0","false","0.5","1","0","0.01","506","true","false"
"224","false","0.2","0","false","0.5","1","0","0.01","402","false","true"
"223","false","0.2","0","false","0.5","1","0","0.01","430","true","false"
"227","false","0.2","0","false","0.5","1","0","0.01","446","true","false"
"225","false","0.2","0","false","0.5","1","0","0.01","848","true","false"
"226","false","0.2","0","false","0.5","1","0","0.01","880","true","false"
"230","false","0.2","0","false","0.5","1","0","0.01","243","true","false"
"229","false","0.2","0","false","0.5","1","0","0.01","594","true","false"
"231","false","0.2","0","false","0.5","1","0","0.01","462","true","false"
"232","false","0.2","0","false","0.5","1","0","0.01","421","true","false"
"234","false","0.2","0","false","0.5","1","0","0.01","522","true","false"
"233","false","0.2","0","false","0.5","1","0","0.01","817","true","false"
"235","false","0.2","0","false","0.5","1","0","0.01","486","true","false"
"228","false","0.2","0","false","0.5","1","0","0.01","1102","true","false"
"238","false","0.2","0","false","0.5","1","0","0.01","519","true","false"
"237","false","0.2","0","false","0.5","1","0","0.01","596","true","false"
"236","false","0.2","0","false","0.5","1","0","0.01","720","true","false"
