"[run number]","mr_marker","random-pairing","game","initial_proportion_ethnic_learning","mr_learning_style","ethnic_bias?","mr_strategy","[step]","success?","collapse?"
"318","0","0.1","1","0.4","0","true","0","1502","true","false"
"321","0","0.1","1","0.4","0","true","0","593","true","false"
"314","0","0.1","1","0.4","0","true","0","3768","true","false"
"320","0","0.1","1","0.4","0","true","0","2428","true","false"
"322","0","0.1","1","0.4","0","true","0","2829","true","false"
"324","0","0.1","1","0.4","0","true","0","2479","true","false"
"323","0","0.1","1","0.4","0","true","0","2096","true","false"
"325","0","0.1","1","0.4","0","true","0","1575","true","false"
"327","0","0.1","1","0.4","0","true","0","750","true","false"
"326","0","0.1","1","0.4","0","true","0","1115","true","false"
"328","0","0.1","1","0.4","0","true","0","967","true","false"
"331","0","0.1","1","0.4","0","true","0","770","true","false"
"329","0","0.1","1","0.4","0","true","0","1252","true","false"
"332","0","0.1","1","0.4","0","true","0","875","true","false"
"333","0","0.1","1","0.4","0","true","0","1259","true","false"
"330","0","0.1","1","0.4","0","true","0","2380","true","false"
"337","0","0.1","1","0.4","0","true","0","1072","true","false"
"334","0","0.1","1","0.4","0","true","0","3353","true","false"
"338","0","0.1","1","0.4","0","true","0","1461","true","false"
"335","0","0.1","1","0.4","0","true","0","2699","true","false"
"336","0","0.1","1","0.4","0","true","0","3267","true","false"
"339","0","0.1","1","0.4","0","true","0","1352","true","false"
"342","0","0.1","1","0.4","0","true","0","1332","true","false"
"343","0","0.1","1","0.4","0","true","0","1197","true","false"
"344","0","0.1","1","0.4","0","true","0","845","true","false"
"340","0","0.1","1","0.4","0","true","0","2725","true","false"
"346","0","0.1","1","0.4","0","true","0","54","false","true"
"345","0","0.1","1","0.4","0","true","0","1109","true","false"
"348","0","0.1","1","0.4","0","true","0","818","true","false"
"341","0","0.1","1","0.4","0","true","0","2557","true","false"
"349","0","0.1","1","0.4","0","true","0","993","true","false"
"352","0","0.1","1","0.4","0","true","0","655","true","false"
"351","0","0.1","1","0.4","0","true","0","1256","true","false"
"353","0","0.1","1","0.4","0","true","0","1010","true","false"
