"BehaviorSpace results (NetLogo 6.1.1)"
"ethnicity bias learning - github version.nlogo"
"sensitivity_to_random_pairing"
"04/19/2022 14:20:24:101 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","25","0","9"
"[run number]","spatial?","random-pairing","mr_learning_strategy","conditional_strategies?","initial_proportion_ethnic_learning","plays_per_learn","mr_strategy","[step]","success?","collapse?"
"255","false","0.1","0","false","0.5","1","0","1176","true","false"
"258","false","0.1","0","false","0.5","1","0","893","true","false"
"257","false","0.1","0","false","0.5","1","0","1486","true","false"
"259","false","0.1","0","false","0.5","1","0","738","true","false"
"256","false","0.1","0","false","0.5","1","0","2260","true","false"
"253","false","0.1","0","false","0.5","1","0","3965","true","false"
"261","false","0.1","0","false","0.5","1","0","1307","true","false"
"262","false","0.1","0","false","0.5","1","0","1365","true","false"
"263","false","0.1","0","false","0.5","1","0","831","true","false"
"260","false","0.1","0","false","0.5","1","0","2481","true","false"
"266","false","0.1","0","false","0.5","1","0","1045","true","false"
"265","false","0.1","0","false","0.5","1","0","1904","true","false"
"267","false","0.1","0","false","0.5","1","0","1448","true","false"
"264","false","0.1","0","false","0.5","1","0","2621","true","false"
"271","false","0.1","0","false","0.5","1","0","520","true","false"
"270","false","0.1","0","false","0.5","1","0","1170","true","false"
"269","false","0.1","0","false","0.5","1","0","1838","true","false"
"273","false","0.1","0","false","0.5","1","0","776","true","false"
"272","false","0.1","0","false","0.5","1","0","1448","true","false"
"268","false","0.1","0","false","0.5","1","0","2626","true","false"
"274","false","0.1","0","false","0.5","1","0","889","true","false"
"277","false","0.1","0","false","0.5","1","0","651","true","false"
"279","false","0.1","0","false","0.5","1","0","790","true","false"
"276","false","0.1","0","false","0.5","1","0","1756","true","false"
"278","false","0.1","0","false","0.5","1","0","1804","true","false"
"275","false","0.1","0","false","0.5","1","0","2772","true","false"
"283","false","0.1","0","false","0.5","1","0","356","false","true"
"280","false","0.1","0","false","0.5","1","0","1258","true","false"
"282","false","0.1","0","false","0.5","1","0","1569","true","false"
"281","false","0.1","0","false","0.5","1","0","2642","true","false"
"285","false","0.1","0","false","0.5","1","0","1265","true","false"
"286","false","0.1","0","false","0.5","1","0","1188","true","false"
"288","false","0.1","0","false","0.5","1","0","740","true","false"
"287","false","0.1","0","false","0.5","1","0","1257","true","false"
"284","false","0.1","0","false","0.5","1","0","2910","true","false"
"289","false","0.1","0","false","0.5","1","0","1953","true","false"
"290","false","0.1","0","false","0.5","1","0","1556","true","false"
"291","false","0.1","0","false","0.5","1","0","1346","true","false"
"292","false","0.1","0","false","0.5","1","0","1508","true","false"
"293","false","0.1","0","false","0.5","1","0","731","true","false"
"294","false","0.1","0","false","0.5","1","0","1225","true","false"
"295","false","0.1","0","false","0.5","1","0","1630","true","false"
"296","false","0.1","0","false","0.5","1","0","1757","true","false"
